CD_MUN,NM_MUN,CNAE_section,MPI
4300034,Aceguá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.003384078138083813
4300059,Água Santa,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018250830328063575
4300109,Agudo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007717639767833907
4300208,Ajuricaba,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012721883974121537
4300307,Alecrim,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005249145899291833
4300406,Alegrete,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.002235573953476969
4300455,Alegria,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014845309642556098
4300471,Almirante Tamandaré do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016904111771916405
4300505,Alpestre,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006155928320925867
4300554,Alto Alegre,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01919666837546916
4300570,Alto Feliz,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03613179082071528
4300604,Alvorada,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.08631869403245368
4300661,André da Rocha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016857588453834445
4300703,Anta Gorda,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015205876083826154
4300802,Antônio Prado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.028845282770850387
4300851,Arambaré,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006767982109781463
4300877,Araricá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03648503384517899
4300901,Aratiba,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00957804613501893
4301008,Arroio do Meio,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03740774475521008
4301057,Arroio do Sal,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005227887355753087
4301107,Arroio dos Ratos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.054562080418951095
4301206,Arroio do Tigre,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008746547439759137
4301305,Arroio Grande,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0030165935030569877
4301404,Arvorezinha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01315255500659357
4301503,Augusto Pestana,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014143809902985381
4301552,Áurea,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0145636584366916
4301602,Bagé,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00473331400037145
4301636,Balneário Pinhal,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006389602174428439
4301651,Barão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05045991567471634
4301701,Barão de Cotegipe,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02349438000307243
4301750,Barão do Triunfo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014211508352479703
4301800,Barracão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006259526699860289
4301875,Barra do Quaraí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0009056579502055159
4301909,Barra do Ribeiro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02429729665747129
4301925,Barra do Rio Azul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.023453135651272116
4301958,Barra Funda,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018280940354608623
